TradeID,OrderID,OrderType,Signal,Date,Time,Price,Quantity,Profit,ProfitPct,CumulativeProfit,CumulativeProfitPct,MaxPotentialProfit,MaxPotentialProfitPct,MaxPotentialLoss,MaxPotentialLossPct
36,71,Enter Short,SE_NON,2002/5/28,11:15:00 AM,5665,1,47800,4.218887908,327200,327.2,54300,4.792586055,-13500,-1.19152692
,72,Exit Short,SX_P,2002/6/4,09:15:00 AM,5421,1,,,,,,,,
37,73,Enter Short,SE_NON,2002/5/28,11:15:00 AM,5665,1,14200,1.253309797,341400,341.4,54300,4.792586055,-13500,-1.19152692
,74,Exit Short,SX_K,2002/6/5,09:05:00 AM,5589,1,,,,,,,,
38,75,Enter Short,SE_NON2,2002/6/6,01:45:00 PM,5562,1,21400,1.923768429,362800,362.8,71300,6.409564905,-2100,-0.188781014
,76,Exit Short,SX_3,2002/6/7,09:25:00 AM,5450,1,,,,,,,,
39,77,Enter Short,SE_NON2,2002/6/6,01:45:00 PM,5562,1,16400,1.474289824,379200,379.2,71300,6.409564905,-2100,-0.188781014
,78,Exit Short,SX_K,2002/6/13,08:55:00 AM,5475,1,,,,,,,,
40,79,Enter Short,SE_NON2,2002/6/6,01:45:00 PM,5562,1,40400,3.631787127,419600,419.6,71300,6.409564905,-20700,-1.860841424
,80,Exit Short,SX_P,2002/6/20,09:05:00 AM,5355,1,,,,,,,,
41,81,Enter Short,SE_NON,2002/6/24,10:15:00 AM,5340,3,-67200,-2.097378277,352400,352.4,4500,0.140449438,-65700,-2.050561798
,82,Exit Short,SX_S,2002/6/25,08:55:00 AM,5447,3,,,,,,,,
42,83,Enter Short,SE_NON,2002/6/25,10:05:00 AM,5340,1,17000,1.5917603,369400,369.4,19100,1.788389513,-15500,-1.451310861
,84,Exit Short,SX_3,2002/6/26,09:05:00 AM,5250,1,,,,,,,,
43,85,Enter Short,SE_NON,2002/6/25,10:05:00 AM,5340,1,41400,3.876404494,410800,410.8,46500,4.353932584,-15500,-1.451310861
,86,Exit Short,SX_P,2002/6/26,11:45:00 AM,5128,1,,,,,,,,
44,87,Enter Short,SE_NON,2002/6/25,10:05:00 AM,5340,1,29800,2.790262172,440600,440.6,55500,5.196629213,-15500,-1.451310861
,88,Exit Short,SX_K,2002/6/28,08:55:00 AM,5186,1,,,,,,,,
45,89,Enter Short,SE_NON,2002/7/1,10:05:00 AM,4968,1,11400,1.147342995,452000,452,21100,2.123590982,-4900,-0.4931562
,90,Exit Short,SX_3,2002/7/2,09:05:00 AM,4906,1,,,,,,,,
46,91,Enter Short,SE_NON,2002/7/1,10:05:00 AM,4968,1,-4800,-0.483091787,447200,447.2,35300,3.55273752,-6900,-0.694444444
,92,Exit Short,SX_K,2002/7/3,12:15:00 PM,4987,1,,,,,,,,
47,93,Enter Short,SE_NON,2002/7/1,10:05:00 AM,4968,1,-21000,-2.11352657,426200,426.2,35300,3.55273752,-20500,-2.063204509
,94,Exit Short,SX_S,2002/7/4,08:55:00 AM,5068,1,,,,,,,,
48,95,Enter Short,SE_NON,2002/7/16,10:35:00 AM,5318,2,78400,3.685596089,504600,504.6,89400,4.202707785,-9000,-0.423091388
,96,Exit Short,SX_P,2002/7/19,09:15:00 AM,5117,2,,,,,,,,
49,97,Enter Short,SE_NON,2002/7/16,10:35:00 AM,5318,1,23400,2.200075216,528000,528,69100,6.49680331,-4500,-0.423091388
,98,Exit Short,SX_K,2002/7/25,08:55:00 AM,5196,1,,,,,,,,
50,99,Enter Short,SE_NON2,2002/7/25,01:45:00 PM,5037,2,68800,3.414730991,596800,596.8,81800,4.059956323,-9000,-0.446694461
,100,Exit Short,SX_P,2002/7/26,09:45:00 AM,4860,2,,,,,,,,
51,101,Enter Short,SE_NON2,2002/7/25,01:45:00 PM,5037,1,32000,3.176493945,628800,628.8,60500,6.005558864,-4500,-0.446694461
,102,Exit Short,SX_K,2002/7/29,10:45:00 AM,4872,1,,,,,,,,
52,103,Enter Short,SE_NON2,2002/7/29,01:45:00 PM,4829,3,-84600,-2.919859184,544200,544.2,900,0.031062332,-83100,-2.868088631
,104,Exit Short,SX_S,2002/7/30,08:55:00 AM,4965,3,,,,,,,,
53,105,Enter Short,SE_NON,2002/7/31,10:15:00 AM,4910,1,22400,2.281059063,566600,566.6,24500,2.49490835,-7900,-0.804480652
,106,Exit Short,SX_3,2002/8/2,09:05:00 AM,4793,1,,,,,,,,
54,107,Enter Short,SE_NON,2002/7/31,10:15:00 AM,4910,1,34800,3.543788187,601400,601.4,41300,4.205702648,-7900,-0.804480652
,108,Exit Short,SX_P,2002/8/5,09:35:00 AM,4731,1,,,,,,,,
55,109,Enter Short,SE_NON,2002/7/31,10:15:00 AM,4910,1,51000,5.193482688,652400,652.4,87300,8.890020367,-7900,-0.804480652
,110,Exit Short,SX_K,2002/8/7,08:55:00 AM,4650,1,,,,,,,,
56,111,Enter Short,SE_NON,2002/8/26,10:05:00 AM,4881,1,12600,1.290719115,665000,665,15500,1.587789387,-13900,-1.423888547
,112,Exit Short,SX_3,2002/8/28,09:05:00 AM,4813,1,,,,,,,,
57,113,Enter Short,SE_NON,2002/8/26,10:05:00 AM,4881,1,10800,1.10633067,675800,675.8,15500,1.587789387,-13900,-1.423888547
,114,Exit Short,SX_K,2002/8/28,09:55:00 AM,4822,1,,,,,,,,
58,115,Enter Short,SE_NON,2002/8/26,10:05:00 AM,4881,1,39400,4.036058185,715200,715.2,42500,4.353616062,-13900,-1.423888547
,116,Exit Short,SX_P,2002/9/2,10:15:00 AM,4679,1,,,,,,,,
59,117,Enter Short,SE_NON2,2002/9/2,01:45:00 PM,4622,2,60800,3.288619645,776000,776,81800,4.424491562,-15400,-0.832972739
,118,Exit Short,SX_P,2002/9/9,09:25:00 AM,4465,2,,,,,,,,
60,119,Enter Short,SE_NON2,2002/9/2,01:45:00 PM,4622,1,21000,2.271743834,797000,797,40900,4.424491562,-7700,-0.832972739
,120,Exit Short,SX_K,2002/9/10,09:25:00 AM,4512,1,,,,,,,,
61,121,Enter Short,SE_NON2,2002/9/19,01:45:00 PM,4439,1,20800,2.342870016,817800,817.8,27300,3.075016896,-1300,-0.146429376
,122,Exit Short,SX_3,2002/9/20,09:05:00 AM,4330,1,,,,,,,,
62,123,Enter Short,SE_NON2,2002/9/19,01:45:00 PM,4439,1,31800,3.581887813,849600,849.6,36900,4.156341518,-1300,-0.146429376
,124,Exit Short,SX_P,2002/9/25,09:05:00 AM,4275,1,,,,,,,,
63,125,Enter Short,SE_NON2,2002/9/19,01:45:00 PM,4439,1,39000,4.39288128,888600,888.6,67300,7.580536157,-1300,-0.146429376
,126,Exit Short,SX_K,2002/9/26,08:55:00 AM,4239,1,,,,,,,,
64,127,Enter Short,SE_NON2,2002/9/26,01:45:00 PM,4204,2,28800,1.712654615,917400,917.4,62600,3.7226451,-24600,-1.462892483
,128,Exit Short,SX_K,2002/10/1,09:15:00 AM,4127,2,,,,,,,,
65,129,Enter Short,SE_NON2,2002/9/26,01:45:00 PM,4204,1,31800,3.782112274,949200,949.2,35300,4.198382493,-12300,-1.462892483
,130,Exit Short,SX_P,2002/10/3,12:25:00 PM,4040,1,,,,,,,,
66,131,Enter Short,SE_NON2,2002/10/3,01:45:00 PM,4042,2,56400,3.488372093,1005600,1005.6,67000,4.143988125,-23800,-1.472043543
,132,Exit Short,SX_P,2002/10/8,10:05:00 AM,3896,2,,,,,,,,
67,133,Enter Short,SE_NON2,2002/10/3,01:45:00 PM,4042,1,29000,3.587333003,1034600,1034.6,51300,6.345868382,-11900,-1.472043543
,134,Exit Short,SX_K,2002/10/14,09:05:00 AM,3892,1,,,,,,,,
68,135,Enter Short,SE_NON2,2002/10/14,01:45:00 PM,3882,3,-49800,-2.138073158,984800,984.8,1500,0.064399794,-48300,-2.073673364
,136,Exit Short,SX_S,2002/10/15,09:05:00 AM,3960,3,,,,,,,,
69,137,Enter Long,LE_NON,2002/10/18,10:05:00 AM,4329,2,68600,3.961653962,1053400,1053.4,68600,3.961653962,-22600,-1.305151305
,138,Exit Long,LX_P,2002/10/23,11:55:00 AM,4503,2,,,,,,,,
70,139,Enter Long,LE_NON,2002/10/18,10:05:00 AM,4329,1,54400,6.283206283,1107800,1107.8,99300,11.46916147,-11300,-1.305151305
,140,Exit Long,LX_1,2002/11/21,01:15:00 PM,4606,1,,,,,,,,
